content,translated_content
kesini sulit ambil foto stnk mobil galeri ambil foto fokus ukur foto enak enak versi ambil foto galeri update kek gin sulit ambil foto buram,here it's hard to take a photo of a car's vehicle registration certificate gallery take a photo focus measure the photo nice nice version take a photo gallery update like gin it's hard to take a blurry photo
aplikasi buruk bantu sulit,bad app help hard
konoha bagong up load foto stnk pajak susah ampun,Konoha Bagong uploading photos of tax certificates is hard to forgive
alhamdulillah bantu,thank God it helps
tolak daftar barcode gara foto stnk payah pertamina,Reject barcode registration because Pertamina's STNK photo is poor
foto stnk kamera aplikasi susah foto buram tolak daftar subsidi sengaja sulit rakyat subsidi fitur foto ambil galeri foto stnk pakai kamera aplikasi buruk,STNK photo camera application difficult blurry photo reject subsidy list deliberately difficult people subsidy photo feature take STNK photo gallery using camera bad application
beli mobil second barcode isi bensin pertalite daftar daftar jual mobil barcode kak sulit beli bahan bakar mohon bijak terima kasih,buy a second hand car barcode fill in Pertalite petrol register list of cars for sale barcode sis it's hard to buy fuel please be wise thank you
bagus,Good
kembali mypertamina unggah foto galeri,back mypertamina upload gallery photo
sulit daftar,hard to register
oke gas oke gas,okay gas okay gas
turbo mantap,turbo steady
mantap,Excellent
promo,promo
sempurna,perfect
daftar sulit,hard list
bpkb hasil pindai bpkb gadai beli unit,bpkb scan result bpkb pawn buy unit
,#VALUE!
aplikasi,application
aplikasi buruk gratis aplikasi aplikasi saking susah bikin qr kode manfaat bikin qr kode bukti aplikasi susah aplikasi bikin qr kode coba bikin aplikasi rakyat mudah bro,bad application free application application is so difficult to make a qr code benefits of making a qr code proof application is difficult application to make a qr code try making an easy people application bro
jangkau indonesia,reach indonesia
kesini kendala daftar barcode unggah foto stnk pilih galeri foto langsung sulit daftar tunggu verifikasi kemarin tolong baik enak pilih unggah galeri,"here the problem is registering barcode uploading STNK photo, selecting photo gallery is difficult, registering waiting for verification yesterday, please be kind, easy, select upload gallery"
cinta produk negeri bahan bakar minyak indonesia,love the products of the country of Indonesian fuel oil
daftar subsidi salah sistem bulan baik,list of subsidy wrong system good month
efektif guna tindak verifikasi orang rajin bayar pajak bahan bakar minyak sulit,effective for verification of people who diligently pay fuel tax is difficult
data hack email balas,email hack data reply
sistem buruk,bad system
bintang,star
bantu,help
update baru daftar subsidi sulit tunggu verifikasi kaya update,new update list of subsidies difficult to wait for verification like update
layan,service
,#VALUE!
kasih barcode baca,give barcode read
registrasi tuk unggah foto ktp stnk pakai aplikasi playstore google chrome,registration to upload KTP STNK photos using the Google Chrome Playstore application
qr bayar kamera buram bayar aplikasi aplikasi mobile banking qr bayar,qr pay blurry camera pay application mobile banking application qr pay
oke,Okay
oke,Okay
verifikasi email gagal kode otp aduh maksud hai mypertamina,email verification failed otp code ouch what does hi mypertamina mean
coba,try
sulit masuk,hard to get in
tolong baik kali daftar error,please be kind to list the errors
tolong benah aplikasi menu tukar poin kali barang kirim jelas korban php,"please fix the point exchange menu application, this time the goods are sent, it's clear that the victim is PHP"
mohon baik sulit unggah file jpg foto terang bantu unggah file jpg,please help upload jpg file bright photo
mudah,easy
tingkat aplikasi layan bagus mantap pertamina,good service application level steady pertamina
barcode ulang susah ampun susah rakyat,"barcode reset is very difficult, people"
manfaat,benefit
oke praktis,okay practical
mantap,Excellent
,#VALUE!
verifikasi data,data verification
daftar sulit foto kali ktp suruh ulangin aneh aplikasi coba butuh pakai barcode pakai,register difficult photo times ktp asked to repeat strange application try need to use barcode use
nice,nice
sulit foto ktp gagal,difficult photo ktp failed
sulit beli bahan bakar minyak pakai voucher kali kali gagal wal hasil tunggu jam isi bahan bakar minyak,"It's hard to buy fuel using vouchers, sometimes it fails, but the result is waiting for the fuel filling time"
manfaat,benefit
mantap,Excellent
daftar barcode cepat verifikasi sulit aplikasi sampah,barcode list fast verification difficult trash application
perdana isi pakai mypertamina ojol lancar mantap voucher subsidi ojol gojek aplikasi asli anak bangsa hehe,"First time filling using mypertamina ojol is smooth, great, ojol gojek subsidy voucher, original application from the nation's children, hehe"
unggah foto galeri foto langsung tingkat bu tidak unggah foto stnk langsung ambil galeri foto ulang tolong baru susah daftar,upload photo gallery photo directly ma'am level not upload photo vehicle registration directly take photo gallery again please new difficult to register
kamera buram fokus foto stnk pakai iphone,blurry camera focus on STNK photo using iPhone
aplikasi mudah sulit,easy difficult application
aplikasi buruk daftar suruh foto ktp tunggu verifikasi data selesai jam sulit aplikasi sampah,"bad application, list asked to take photo of ID card, wait for data verification to finish, difficult time, trash application"
senang,like
update buruk lot lambat gampang mypertamina lot enak fitur,bad update slow lot easy mypertamina lot nice features
keren,Cool
mantap,Excellent
buruk tunggu verifikasi data error,bad wait data verification error
tolong laa pom bensin kasih edc sulit isi mypertamina saran,"Please help, petrol stations provide EDC, it's hard to fill with MyPertamina, suggestions"
foto ktp kotak gagal,photo ktp box failed
pilih foto bagi subsidi pasu foto ktp stnk mobil foto handphone,"select photo for subsidy, photo of KTP, photo of vehicle registration, photo of cellphone"
oke,Okay
bagus papua repot uang bayar duluan isi bahan bakar minyak,good papua bother money pay first fill up fuel oil
registrasi,registration
keluh jawab template hai mohon maaf tidak nyaman alami admin butuh data dukung admin solusi kendala sila sobat salah kanal interaksi pertamina call center instagram bantu kece bantu,complaint answer template hi sorry it's uncomfortable admin needs data support admin solution to the problem please friend wrong interaction channel pertamina call center instagram help cool help
oke,Okay
asyik,fun
bingung barcode kasihan paham perintah milik handphone android gagap teknologi hidup zaman serba urus,confused barcode poor understand command owned by android cellphone stuttering technology life era everything is taken care of
mudah simpel,easy simple
oke,Okay
aplikasi ganggu talang jambe spbu palembang,application disturbs gutter jambe gas station palembang
ambil foto beranda,take a photo of the porch
coba,try
bagus,Good
mantap,Excellent
mantap,Excellent
barcode update bulan takut salah contoh punya barcode pakai isi bahan bakar minyak takut barcode salin salah baru langsung verifikasi nomor telepon akun foto sulit,barcode update month afraid of wrong example have barcode use fill fuel oil afraid barcode copy wrong then immediately verify phone number account photo difficult
mantap,Excellent
salah input edit spbu bantu buat suruh bayar,"Wrong input, edit gas station, help order me to pay"
kasih bintang bagus kasih bintang,give a star nice give a star
baik aplikasi ulang kali coba tolak sesuai nomor ktp maksud,"OK, try re-applying to reject the intended ID number"
daftar barcode,barcode list
pertamina aplikasi update tanggal februari siang data mobil hilang mohon bantu,Pertamina application update February afternoon car data lost please help
oke,Okay
bagus,Good
masuk nomor daftar login bilang format salah,"Enter the login list number, it says the format is wrong"
foto stnk unggah,upload vehicle registration photo
mudah aktivitas hari,easy daily activities
,#VALUE!
oke,Okay
aplikasi bagus unit pemberitahuan aplikasi sibuk,good app notification unit busy app
,#VALUE!
tolong bikin barcode mobil beli orang nama pasti plat mobil solusi bikin barcode mobil nama iya tunjuk solusi,please make a car barcode buy someone's name must be the car plate solution make a car barcode name yes show solution
terima kasih aplikasi mudah unduh susah barcode,thank you easy application download difficult barcode
oke,Okay
usaha pertamina bikin aplikasi lot,Pertamina's efforts to create a lot application
bagus,Good
nomor good,good number
keren mantap mudah terima kasih,cool steady easy thank you
,#VALUE!
antri,queue
,#VALUE!
bagus,Good
barcode salah orang hak tolong pertamina tambah kode otp isi bahan bakar minyak,wrong person barcode right please Pertamina add OTP code to fill fuel oil
oke mypertamina,okay mypertamina
barcode status pakai pegawai pom banyak kongkalikong ketap bensin nomor plat sesuai kasih ceper situ,barcode status use petrol station employees collude with many people to tap the petrol plate number according to the low price
mudah,easy
mudah transaksi siap paket data handphone tab wifi spbu support mudah transaksi customer,easy transaction ready data package mobile phone tab wifi gas station support easy customer transaction
aplikasi bikin orang sulit susah keluh nomor tanggal desember komplain tanggal desember ikut up solved omong data mypertamina kendara volume silinder tulis roda sistem mending cancel kerja bisa susah orang,application makes people difficult to complain number December date complain December date join up solved say mypertamina data vehicle cylinder volume write wheel system better cancel work can be difficult for people
mantap,Excellent
pakai mobil roda data tulis roda urus samsat tolong mudah praktis,use a car wheel data write wheel take care of samsat please easy practical
capai unduh aplikasi isi dana ovo spbu jalur my pertamina tutup alas ganggu jaring parah area sulawesi utara,reach download application fill ovo funds gas station my pertamina route closed base severe network disruption north sulawesi area
aplikasi sinkron samsat ganti plat nomor daftar ulang sulit negeri konoha,samsat synchronization application change number plate re-registration difficult konoha country
mantap,Excellent
,#VALUE!
pikir kasih bintang,think of star love
tele tele proses,long process
sulit,difficult
praktis driver online bantu pakai mypertamina bayar pakai saldo ovo,practical online driver helps use mypertamina pay using ovo balance
pakai orang,use people
oke,Okay
good job,good job
dukung handphone foto loading handphone dukung ambil galeri sayang foto stnk pilih galeri bantu daftar,support mobile phone photo loading mobile phone support take gallery dear photo vehicle registration select gallery help register
admin biaya agen gas lpg,lpg gas agent fee admin
voucher potong harga isi bahan bakar minyak voucher pakai,fuel price cut voucher use voucher
good,good
data agen gas daftar kosong susah cari gas melon kg,gas agent data empty list hard to find melon gas kg
kacau aplikasi daftar susah,messed up application list hard
mudah aman,easy safe
kode otp coba whatsapp pesan coba,otp code try whatsapp message try
daftar guna lpg kg aplikasi lari website guna aplikasi dar informasi aplikasi guna lari website digital digital haha heran plat merah,list of uses for lpg kg application run website use application from information application use run website digital digital haha ​​wonder red plate
mantap,Excellent
mantap,Excellent
dzolim,injustice
daftar unduh beranda nik daftar,list download home nik list
oke,Okay
deteksi lokasi muncul tulis aplikasi deteksi lokasi google maps,location detection appears write google maps location detection application
transaksi mypertamina poin,mypertamina points transaction
bagus aplikasi,good app
bantu,help
bantu,help
oke,Okay
daftar pertalite subsidi gagal bolak pasang beberapa handphone gagal,list of subsidized pertalite failed to install several cellphones failed
gas kg langka,rare kg gas
layan baik,good service
aplikasi plat merah payah data darimana roda roda payah,red plate application is poor data from where are the wheels of the wheels poor
buruk,bad
oke,Okay
kode qr muat data mobil,qr code load car data
repot barcode mypertamina aplikasi tolong mudah,bother barcode mypertamina application please make it easy
guna telepon call center pulsa habis operator bicara perintah bikin susah rakyat,"to use the call center phone credit runs out, the operator gives orders that make it difficult for the people"
unggah foto kendara,upload vehicle photo
pesan gas via website via telepon menit layan tugas dengar,order gas via website via telephone minutes service task listen
beli gas elpiji non subsidi suruh beli aplikasi eh aplikasi putar kelas pertamina bikin aplikasi kaya gin,"buy non-subsidized LPG gas, ask to buy an application, oh the application is a Pertamina class, make an application like Gin"
aplikasi error buka qr kode halaman muat ulang baik error,application error open qr code page reload ok error
aplikasi manfaat bayar mypertamina spbu tolak kali alas terima cash kecewa,mypertamina gas station payment benefit application rejected times disappointed cash receipt
innova pertalite,innova petrol
halaman verifikasi kode verifikasi kirim kirim whatsapp pesan ulang nomor daftar sulit,verification page verification code send send whatsapp message repeat number register difficult
bagus,Good
kecewa voucher pakai potong dana linkaja,disappointed vouchers use linkaja funds deductions
gas warung kelontong agen bagi kalo beli usaha berat,gas grocery store agent for if buying heavy business
spbu tempat jalan betoambari kota baubau boleh bayar pakai mypertamina wajib bayar tunai sayang,"gas station on Jalan Betoambari, Baubau city, you can pay using MyPertamina, you have to pay in cash, dear."
layan pds semua semua layan pds,serve all pds all serve pds
nama perintah beres sadar masyarakat kasih bintang ulas kritis beres mudah sulit,command name done aware community give star critical review done easy difficult
alamat gagal ulang beli gas bingung,address failed to re-purchase gas confused
tolong sistem kondisi lapang masak gara gara stock stnk samsat habis daftar bahan bakar minyak subsidi unggah stnk habis stock unggah stempel samsat,"please help the field condition system cook because the stock of STNK SAMSAT has run out, list of subsidized fuels, upload STNK, stock runs out, upload SAMSAT stamps"
keren,Cool
,#VALUE!
cek mypertamina,check mypertamina
pegawai ramah pecat bintang sikap daerah bandar lampung samping sekolah taman siswa teluk betung perempuan tanggal februari jam nyaman layan peduli sombong,friendly staff fire star attitude area bandar lampung next to taman siswa school teluk betung female date february hours comfortable service caring arrogant
aplikasi daftar buruk sulit,bad list app hard
selalu isi pakai kode qr lihat riwayat proses transaksi guna kode kosong,"always fill in using the QR code, see the transaction process history using the empty code"
,#VALUE!
mantap,Excellent
aplikasi bantu jangkau luas,wide reach assistance application
oke mantap,okay great
minggu coba daftar gagal registrasi suruh coba coba minggu coba ubah pakai barcode sulit daftar tolong mypertamina baik aplikasi biar masyarakat mudah akses daftar masyarakat senang mypertamina senang terima kasih,Sunday tried to register failed registration told to try try Sunday tried change using barcode difficult to register please mypertamina good application so that people can easily access registration people are happy mypertamina happy thank you
bantu buat barcode terima kasih pertamina,help make barcode thank you pertamina
aplikasi bagusbisa bayar online qris subsidi terima kasih,good application can pay online qris subsidies thank you
data plat kendara isi sesuai arah eh sandi salah mau pertamina,vehicle plate data filled in according to the direction eh wrong password want Pertamina
mudah beli bahan bakar minyak,easy to buy fuel oil
kelas pertamina bikin sesat,Pertamina class makes you astray
manjay mantap jaya,"spoiled, steady, victorious"
maaf kasih bintang mohon baik lokasi tolong arah aplikasi maps salah mohon baca admin pertamina,sorry give a star please correct location please directions maps application is wrong please read admin pertamina
mantap,Excellent
aplikasi dana mudah,easy fund application
mudah,easy
bantu,help
kembang tolong baik error maps recall jhonson base camp hero mentang isi pertalite hero recall langsung room,flower please be good error maps recall jhonson base camp hero mentang fill pertalite hero recall immediately room
susah daftar susah,hard to register hard
tolong tambah menu lokasi pangkal lpg,please add lpg base location menu
history otomatis masuk,history automatically entered
,#VALUE!
terima kasih mypertamina is good,thank you mypertamina is good
praktis,practical
bantu beli bahan bakar minyak pertamina,help buy Pertamina fuel oil
voucher sampah beli pilih bayar voucher,garbage voucher buy choose pay voucher
bintang nol mah nol kali kali unggah ktp terang aplikasi baca si alas tolak foto aneh,zero star is zero times upload ktp bright application read the base reject strange photos
aplikasi fitur buruk lepas koneksi bayar gopay bilang tingkat sistem email customer service balas,bad feature application disconnect pay gopay say system level email customer service reply
sulit pakai barcode mobil mewah isi,hard to use luxury car barcode contents
aplikasi mypertamina cek pom dekat isi bahan bakar minyak subsidi rubah daftar mobil diesel bensintrim,mypertamina application check nearby gas stations fill subsidized fuel change list of diesel petrol cars trim
canggih pertamina akan halus batas subsidi bahan bakar minyak guna mobil stnk proses urus gerai isi minyak nama pertamina boleh isi bahan bakar minyak subsidi barcode,"sophisticated pertamina will smooth the fuel subsidy limit for cars, STNK, process of managing fuel filling outlets, Pertamina name, may fill subsidized fuel, barcode"
kirim data kendara,send vehicle data
ulang,repeat
lambat error buffering masalah,slow error buffering problem
akun tulis muat ulang muat ulang muat ulang muat ulang klik muat ulang kacau aplikasi,account write reload reload reload reload reload click reload messed up app
parah aplikasi pakai spbu pertamina,Serious application using Pertamina gas station
mantap,Excellent
lambat,slow
tingkat mutu layan terima kasih,level of service quality thank you
mantap,Excellent
oke,Okay
serba sulit daftar login sulit login,all difficult register login difficult login
logout login pakai nik,logout login using nik
mantap,Excellent
nice,nice
transaksi cepat mudah pegawai spbu ug ramah,"fast easy transaction, friendly gas station staff"
daftar kendara error coba ulang kali error salah sistem qr kode spbu layan qr mohon baik sistem,vehicle list error try again error wrong system qr code gas station qr service please system
baru aplikasi hapus,new app delete
cepat,fast
super,super
tolong mantap up pakai banking,please steady up using banking
keren,Cool
oke tahan sinyal bagus,okay hold signal good
susah masuk data kendara subsidi tolak,Difficult to enter rejected subsidy vehicle data
update navigasi maps hubung kartu debit gagal ulang ulang,update navigation maps connect debit card failed retry
mantap,Excellent
registrasi mypertamina isi pertalite mobil jalan yogya bandung eh isi pertalite cek mypertamina perintah muat ulang klik kali telepon data data aneh aplikasi turun bintang,mypertamina registration fill pertalite car road yogya bandung eh fill pertalite check mypertamina command reload click times phone data strange data application down star
kecewa sengaja isi saldo bayar pakai aplikasi pom guna aplikasi,disappointed intentionally fill balance pay using application pom use application
harga pertamax rp wajar naik perlahan rp rp rp keri naik harga bahan bakar minyak kualitas pertamax suka delay naik harga pertamax cekik,Pertamax price rp is reasonable to increase slowly rp rp rp keri increase in fuel price Pertamax quality often delays increase in Pertamax price is strangling
gopay tabung sulit pakai ovo,Gopay Tabung is difficult to use OVO
bantu masyarakat minyak habis langgar,help the oil community
suruh pakai aplikasi error,ask to use application error
minggu daftar kendara kena gagal sistem hubung call center kali solusi masuk data nomor dihubungin ubah gagal sistem hubung kait kendala,Sunday vehicle registration failed call center connection system solution entered data number contacted changed failed connection system hook problem
good job,good job
layan,service
aplikasi update,update application
bagus,Good
mantap,Excellent
oke,Okay
bagus,Good
mantap,Excellent
good,good
bingung habis bahan bakar minyak bulan,confused about running out of fuel this month
panggil video call antri tunggu jam susah,call video call queue wait hours difficult
admin daftar alat tani yah,admin list of farming tools yeah
mudah proses,easy process
terima kasih ban uan,thank you brother
oke,Okay
kecewa aplikasi data hilang update masuk data error nomor handphone daftar akibat milik kendara rugi hilang barcode,disappointed application data lost update enter data error mobile phone number register due to vehicle ownership loss lost barcode
tarik bantu,pull help
keren,Cool
mohon step mudah,please easy steps
oke,Okay
error customer respon,customer response error
oke,Okay
mantap,Excellent
mantap,Excellent
,#VALUE!
akun mypertamina sulit akun bikin sulit pakai ribu orang wajar error sulit buat,"mypertamina account is difficult to create an account, it is difficult to use thousands of people, it is natural that the error is difficult to create"
oke,Okay
excellent,excellent
orang susah kerja driver on line grab barcode subsidi mypertamina pakai subsidi pertamina jalan kerja driver online mohon sedia layan subsidi pertamina sudi bantu driver online terima kasih sedia aplikasi subsidi,people have trouble working as online drivers grab barcode subsidies mypertamina use pertamina subsidies work way online drivers please provide subsidy services pertamina is willing to help online drivers thank you provide subsidy applications
aplikasi buruk ganggu mudah jaring bagus pemberitahuan suruh muat ulang kocak,bad app annoying easy good net notification tell to reload funny
bantu,help
hubung link isi bensin,link link fill petrol
barcode aneh,strange barcode
pom bensin ub samping rumah sakit antonio baturaja sumsel isi full bayar pakai mypertamina nominal full sistem rugi mantap up kena biaya lebih uang cash guna aplikasi rugi terima kasih,ub gas station next to antonio hospital baturaja south sumsel fill up pay using mypertamina full nominal loss system steady up charged more cash use application loss thank you
good,good
layan spbu maksimal,maximum gas station service
mantap,Excellent
aplikasi sulit lebih sulit aplikasi perban beli pinjam syarat syarat barcode beli rumah payah,difficult application more difficult application bandage buy borrow terms and conditions barcode buy house hard
layan masyarakat good,good community service
sulit layan lancar,difficult to serve smoothly
terima kasih,Thank You
oke,Okay
aplikasi buruk salah jaring unggah,bad app wrong upload network
bagus mantap,"good, steady"
buka menu bahan bakar minyak subsidi halaman muat,"open the subsidized fuel oil menu, load page"
mantap,Excellent
payah kendara mending balik jaman purba,"It's hard to drive, it's better to go back to ancient times"
bantu bawa uang cash tolong pertamina bahan bakar minyak murahin,"help bring cash, please Pertamina make fuel cheaper"
qr,qr
sih daftar subsidi salah sistem loh coba tolong,"The subsidy list is wrong, the system is wrong, please help"
nice,nice
fitur oke metode bayar lumayan lengkap isi bahan bakar minyak spbu tugas bilang mypertamina unduh spbu situ barcode unduh aplikasi mypertamina,"okay features, payment method is quite complete, fuel oil filling at gas stations task says mypertamina download gas stations there barcode download mypertamina application"
,#VALUE!
moga manfaat,Hopefully it's useful
bintang layak mobil anggur isi bensin data verifikasi gagal barcode sistem sibuk,star worthy car wine fill petrol data verification failed barcode system busy
akun subsidi salah sistem remeh sistem pertamina sistem siap tahun paksa jalan prihatin,subsidy account wrong system trivial system pertamina system ready year forced road concerned
bagus,Good
oke,Okay
mudah,easy
mantap,Excellent
spbu kode qr menu unduh kode qr sulit akses pakai sandi pin masuk aplikasi aman akses ubah pin klaim pakai,gas station qr code menu download qr code difficult to access using pin password enter application secure access change pin claim use
aplikasi cacat pemberitahuan halaman muat sayang uang negara buang bikin aplikasi gagal,application defect notification loading page pity state money is wasted makes application fail
coba,try
oke,Okay
salah sistem bikin akun beli bensin sulit pertamina heiiiii susah rakyat,"wrong system to create an account to buy petrol, it's difficult for Pertamina, hey it's difficult for the people"
isi bensin aplikasi pikir orang habis kuota habis baterai ganggu sinyal handphone tinggal minyak habis isi isi kasih isi tuh minyak,"fill up the petrol application, people think the quota is out, the battery is out, it's disturbing the cellphone signal, there's only oil left, fill up ..."
daftar unit gagal alas sistem error tolong selesai,unit list failed system error please complete
keren,Cool
mantap,Excellent
habis update error aplikasi dikte data hehehe,"After updating, the data dictation application error occurred, hehehe"
susah update,hard to update
mantap,Excellent
oke,Okay
aplikasi abal abal mudah blokir barcode,fake application easy to block barcode
bagus,Good
great,great
update menggangu transaksi,Updates disrupt transactions
registrasi nomor handphone daftar reset pin login format salah nomor handphone daftar daftar mau aplikasi plin plan gin,mobile phone number registration register reset pin login wrong format mobile phone number register register want application wishy-washy gin
aplikasi buruk kirim data hasil salah sistem kirim data kendara jam suruh coba gila,bad application send data wrong result system send data drive watch tell try crazy
bikin emosi daftar sulit,make emotion list difficult
daftar kode barcode aplikasi sampah,list of trash application barcode codes
mudah mudah sasar,easy easy to get lost
oke,Okay
oke,Okay
keren aplikasi manfaat,cool application benefits
cie proses digitalisasi zaman covid hasil aplikasi selamat,"here is the digitalization process in the covid era, the results of the safe application"
update data hilang login masuk data nik aplikasi sampah,update lost data login enter nik data trash application
edit tinggal opsi unduh qr fungsi,edit live download qr function option
cepat praktis terima kasih,fast practical thank you
moga layan cepat,Hopefully the service is fast
aplikasi pertamina susah rakyat isi formulir sulit bumn sengsara,"Pertamina application is difficult, people have difficulty filling out the form, BUMN is miserable"
good,good
aplikasi cacat,disabled application
isi data bilang kode area sesuai ktp data sesuai ktp kali kali ulang bikin kesal,"Fill in the data, say the area code according to the ID card, the data according to the ID card, repeating it several times is annoying"
aplikasi,application
,#VALUE!
mantap,Excellent
qr akun subsidi hapus tolong sangkut kembali baik,qr account subsidy delete please reconnect it properly
telepon customer ubah data truk minggu ubah bikin rugi,customer phone change truck data week change causes loss
aplikasi standar koruptor susah masyarakat unggah foto ktp bikin kesal ulang kali cacat,"Corruptors' standard application makes it difficult for people to upload ID card photos, it's annoying to be damaged repeatedly"
nice,nice
is the baik,is the good
aplikasi error daftar barcode,barcode list error application
mantap,Excellent
mantap,Excellent
oke,Okay
bagus,Good
good,good
bagus subsidi bahan bakar minyak arah awas,"Good fuel subsidies, watch out"
gagal gagal kode otp kirim kirim data daftar sesuai data sesuai kirim kode otp sampah,failed failed otp code send send data register match data match send otp code trash
sungguh mantap,really cool
sulit,difficult
barcode suruh bayar,barcode says pay
sulit bantu,hard to help
good job,good job
,#VALUE!
oke,Okay
daftar barcode mobil unit mobil bpkb mobil barcode mobil bpkb leasing foto bpkb mobil coba mypertamina suka sulit gun,car barcode list car unit car bpkb car barcode car bpkb leasing car bpkb photo try mypertamina like difficult gun
sistem update daftar lancar,smooth list update system
bagus tinggal edukasi sdm depot isi paham,"good, just need to educate HR so the contents of the depot understand"
bantu beli bahan bakar praktis pilih metode bayar,help buy fuel practically choose payment method
kali barcode mypertamina mudah lancar ridwanmanado,times mypertamina barcode easy smooth ridwanmanado
oke bikin qr kode,okay make qr code
,#VALUE!
mudah masyarakat sulit qr kode verifikasi tunggu tunggu gilir kedaluwarsa bantu nge email slow respon yah aplikasi pakai masyarakat moga depan,easy society difficult qr verification code wait wait take turns expired help email slow response yes application use society hopefully in the future
login daftar sandi reset login call gubris lempar kesana ujung ngapain,login register password reset login call ignore throw it there what's the end result
good,good
mantap pom,steady bro
susah bikin,hard to make
good,good
susah,difficult
hapus baca komentar kecewa sih tolong revisi biar bintang full aplikasi,delete read comments disappointed please revise so the application has full stars
daftar subsidi bahan bakar minyak tolak aplikasi muda sulit,list of fuel subsidies reject young people's applications difficult
oke mantap,okay great
sulit paham guna as aplikasi mypertamina,hard to understand how to use the mypertamina application
bintang,star
bolak coba daftar kecewa aplikasi,try again and again to register but disappointed with the application
aplikasi sampah daftar aplikasi error era digital sok pakai aplikasi mudah susah,trash application list of error applications digital era pretending to use easy and difficult applications
mantap bantu pegang uang tunai,steady help hold cash
update masuk,update incoming
nomor handphone pin klaim salah sesuai daftar aduh,cellphone number pin claim wrong according to list ouch
daftar input foto stnk gagal kasih pilih input galeri foto kendara,STNK photo input list failed to provide vehicle photo gallery input selection
oke,Okay
aplikasi repot,troublesome application
good,good
mudah konsumen,easy for consumers
update login ulang mekanisme ambil barcode sulit tipikal aplikasi bumn hati pakai mudah guna paksa sulit adaptasi aplikasi,update re-login mechanism take barcode difficult typical bumn application heart use easy to use force difficult to adapt application
terima kasih aplikasi bantu isi bahan bakar minyak,Thank you for the application to help fill up fuel oil
aplikasi susah masyarakat proses sulit tambah terkadang server error butuh masyarakat bahan bakar minyak subsidi spbu pertamina wajib barcode proses daftar sulit orang beli bahan bakar minyak subsidi,"difficult application, difficult process, sometimes server error, people need subsidized fuel, Pertamina gas stations require barcodes, difficult registration process, people buy subsidized fuel"
layan,service
daftar subsidi hasil foto id langsung tahap tolong aplikasi baik usaha bumn lho gara masalah salur subsidi hambat rakyat jelata beban pajak gilir subsidi sulit,"List of subsidies for direct photo ID results, please apply for a good BUMN business, because of the problem of distributing subsidies, it is difficult for ordinary people to get rotating tax subsidies"
oke lancar,"okay, smooth"
bagus,Good
mantap,Excellent
woii sulit kali daftar otp kasi kasih kek aplikasi sulit kali kelen,"Hey, it's hard to register for OTP, give it to me, it's hard to register for an application, it's hard to register"
bayar mudah cepat,pay easy fast
sulit sih,it's difficult
halah ama web rusak,oh my web is broken
aplikasi cacat,disabled application
voucher elektronik mypertamina kasih bayar terang voucher metode bayar aplikasi error hih,mypertamina electronic voucher give clear payment voucher payment method application error hih
buka subsidi,open subsidy
mudah mudah aplikasi mypertamina,easy easy mypertamina application
muas,satisfied
aplikasi bagus,good app
oke,Okay
oke,Okay
,#VALUE!
susah masyarakat bijak pertamina,difficult wise society pertamina
pasang sulit bikin barcode pusing,install difficult make barcode dizzy
bahan bakar minyak ber subsidi,subsidized fuel oil
cepat,fast
mantap gopay,great gopay
mutakhir biar cepat akses,up to date for fast access
aplikasi tolol,stupid app
gagal kendara temu harap laku baik data subsidi bahan bakar minyak data masuk sesuai,"Failed to drive, hope it works well, the fuel oil subsidy data is in line"
lihat barcode pertamina,see pertamina barcode
masuk nomor handphone tulis nomor daftar,Enter your mobile number and write your registration number
payah isi pertalite motor antri gilir isi karyawan pakai aplikasi antri antri mobil barcode pom rawakalong bekas pom kerawang karyawan terima tunai barcode pakai aplikasi pertamina aplikasi bikin pakai habis anggar,hard to fill pertalite motorbikes queue to fill employees use applications queue car barcode petrol station Rawakalong former petrol station Kerawang employees receive cash barcode using Pertamina application application to make use of budget
terkadang kendara daftar gagal susah tuk daftar,Sometimes it's hard to register when you register and fail
kategori subsidi akses coba ber ulang kali email respon hub customer service feedback,subsidy category access try again email response hub customer service feedback
sulit subsidi bahan bakar minyak isi data input data masuk akun formulir muncul pertamina serius bantu masyarakat tengah data base korlantas mobil daftar isi data subsidi tolak lapor plat mobil ganti putih nomor polisi otomatis ganti tolong pertamina jelas,difficult fuel subsidies fill in data input data enter account form appears pertamina seriously helps the community in the middle of the traffic corps car data base list fill in subsidy data reject report car plate change white police number automatically change please pertamina clearly
aplikasi cacat data base kendara tolak,application with vehicle database defects rejected
aplikasi bodoh orang belakang memvalidasi subsidi bodoh nama beli mobil bekas cash bpkb on hand langsung pilih menu ambil foto pilih foto galeri loh yah bilang data kendara valid bodoh,stupid application people behind validate stupid subsidies name buy used cars cash bpkb on hand immediately select menu take photo select photo gallery oh yeah say valid vehicle data stupid
susah kode barcode isi data lengkap payah,difficult barcode code fill in complete data
pertamina bumn kelas bumn pakai qris baca mypertamina maksa pakai aplikasi biar laku kasihan mypertamina laku sulit sih bumn sih gagap teknologi,"Pertamina BUMN BUMN class uses QRIS to read MyPertamina forced to use the application so that it sells, poor MyPertamina, it's hard to sell, BUMN is technologically illiterate"
mantap simpel,steady simple
kendara barcodenya pakai,use the barcode on the vehicle
susah sopir handphone android ganti email data isi mypertamina memyusahkan orang da sopir,"It's hard for Android cellphone drivers to change email data to fill in MyPertamina, making it difficult for people and drivers"
barcode susah,barcode hard
simpel,simple
mudah,easy
